RSSI-Value,MAC-Address,Timestamp,Distance
-21,CF:A3:89:0C:C9:51,2024-09-11 15:45:00,0
-20,F0:79:C0:40:FB:93,2024-09-11 15:45:01,0
-20,D3:22:77:BF:AA:27,2024-09-11 15:45:02,0
-22,CF:A3:89:0C:C9:51,2024-09-11 15:45:02,0
-17,D3:22:77:BF:AA:27,2024-09-11 15:45:02,0
-18,DC:6B:61:2B:5E:43,2024-09-11 15:45:03,0
-30,F8:7A:46:49:DE:DD,2024-09-11 15:45:03,0
-28,C3:C4:AC:4D:71:21,2024-09-11 15:45:03,0
-73,F6:C9:C2:EB:01:A6,2024-09-11 15:45:03,0
-32,F2:0B:6D:12:D2:41,2024-09-11 15:45:03,0
-17,E4:BF:94:1D:83:8D,2024-09-11 15:45:04,0
-17,E6:C7:0D:78:F3:84,2024-09-11 15:45:04,0
-20,E5:8F:75:D0:5C:32,2024-09-11 15:45:04,0
-17,DC:6B:61:2B:5E:43,2024-09-11 15:45:05,0
-28,F8:7A:46:49:DE:DD,2024-09-11 15:45:05,0
-28,C3:C4:AC:4D:71:21,2024-09-11 15:45:05,0
-77,F6:C9:C2:EB:01:A6,2024-09-11 15:45:05,0
-18,E4:BF:94:1D:83:8D,2024-09-11 15:45:06,0
-19,E6:C7:0D:78:F3:84,2024-09-11 15:45:06,0
-22,E5:8F:75:D0:5C:32,2024-09-11 15:45:06,0
-17,DC:6B:61:2B:5E:43,2024-09-11 15:45:07,0
-29,F8:7A:46:49:DE:DD,2024-09-11 15:45:07,0
-30,C3:C4:AC:4D:71:21,2024-09-11 15:45:07,0
-78,F6:C9:C2:EB:01:A6,2024-09-11 15:45:07,0
-17,F0:79:C0:40:FB:93,2024-09-11 15:45:08,0
-21,CF:A3:89:0C:C9:51,2024-09-11 15:45:08,0
-28,F8:7A:46:49:DE:DD,2024-09-11 15:45:09,0
-20,D3:22:77:BF:AA:27,2024-09-11 15:45:09,0
-17,F0:79:C0:40:FB:93,2024-09-11 15:45:10,0
-17,DC:6B:61:2B:5E:43,2024-09-11 15:45:11,0
-28,C3:C4:AC:4D:71:21,2024-09-11 15:45:11,0
-76,F6:C9:C2:EB:01:A6,2024-09-11 15:45:11,0
-37,F2:0B:6D:12:D2:41,2024-09-11 15:45:11,0
-18,E4:BF:94:1D:83:8D,2024-09-11 15:45:12,0
-22,E5:8F:75:D0:5C:32,2024-09-11 15:45:12,0
-19,E6:C7:0D:78:F3:84,2024-09-11 15:45:12,0
-17,DC:6B:61:2B:5E:43,2024-09-11 15:45:13,0
-28,C3:C4:AC:4D:71:21,2024-09-11 15:45:13,0
-77,F6:C9:C2:EB:01:A6,2024-09-11 15:45:13,0
-37,F2:0B:6D:12:D2:41,2024-09-11 15:45:13,0
-18,E4:BF:94:1D:83:8D,2024-09-11 15:45:14,0
-22,E5:8F:75:D0:5C:32,2024-09-11 15:45:14,0
-19,E6:C7:0D:78:F3:84,2024-09-11 15:45:14,0
-30,F8:7A:46:49:DE:DD,2024-09-11 15:45:15,0
-17,D3:22:77:BF:AA:27,2024-09-11 15:45:15,0
-17,F0:79:C0:40:FB:93,2024-09-11 15:45:16,0
-20,CF:A3:89:0C:C9:51,2024-09-11 15:45:16,0
-17,DC:6B:61:2B:5E:43,2024-09-11 15:45:17,0
-28,C3:C4:AC:4D:71:21,2024-09-11 15:45:17,0
-77,F6:C9:C2:EB:01:A6,2024-09-11 15:45:17,0
-36,F2:0B:6D:12:D2:41,2024-09-11 15:45:17,0
-18,E4:BF:94:1D:83:8D,2024-09-11 15:45:18,0
-22,E5:8F:75:D0:5C:32,2024-09-11 15:45:18,0
-19,E6:C7:0D:78:F3:84,2024-09-11 15:45:18,0
-22,CF:A3:89:0C:C9:51,2024-09-11 15:45:18,0
-17,DC:6B:61:2B:5E:43,2024-09-11 15:45:19,0
-30,C3:C4:AC:4D:71:21,2024-09-11 15:45:19,0
-76,F6:C9:C2:EB:01:A6,2024-09-11 15:45:19,0
-39,F2:0B:6D:12:D2:41,2024-09-11 15:45:19,0
-17,E4:BF:94:1D:83:8D,2024-09-11 15:45:20,0
-19,E5:8F:75:D0:5C:32,2024-09-11 15:45:20,0
-20,CF:A3:89:0C:C9:51,2024-09-11 15:45:20,0
-31,F8:7A:46:49:DE:DD,2024-09-11 15:45:21,0
-17,D3:22:77:BF:AA:27,2024-09-11 15:45:21,0
-17,F0:79:C0:40:FB:93,2024-09-11 15:45:22,0
-17,E6:C7:0D:78:F3:84,2024-09-11 15:45:22,0
-29,F8:7A:46:49:DE:DD,2024-09-11 15:45:23,0
-18,F0:79:C0:40:FB:93,2024-09-11 15:45:24,0
-18,E4:BF:94:1D:83:8D,2024-09-11 15:45:24,0
-22,CF:A3:89:0C:C9:51,2024-09-11 15:45:24,0
-17,DC:6B:61:2B:5E:43,2024-09-11 15:45:25,0
-29,C3:C4:AC:4D:71:21,2024-09-11 15:45:25,0
-76,F6:C9:C2:EB:01:A6,2024-09-11 15:45:25,0
-37,F2:0B:6D:12:D2:41,2024-09-11 15:45:25,0
-17,E4:BF:94:1D:83:8D,2024-09-11 15:45:26,0
-20,E5:8F:75:D0:5C:32,2024-09-11 15:45:26,0
-17,E6:C7:0D:78:F3:84,2024-09-11 15:45:26,0
-27,F8:7A:46:49:DE:DD,2024-09-11 15:45:27,0
-20,D3:22:77:BF:AA:27,2024-09-11 15:45:27,0
-18,F0:79:C0:40:FB:93,2024-09-11 15:45:28,0
-22,E5:8F:75:D0:5C:32,2024-09-11 15:45:28,0
-19,E6:C7:0D:78:F3:84,2024-09-11 15:45:28,0
-28,F8:7A:46:49:DE:DD,2024-09-11 15:45:29,0
-17,D3:22:77:BF:AA:27,2024-09-11 15:45:29,0
-20,F0:79:C0:40:FB:93,2024-09-11 15:45:30,0
-22,CF:A3:89:0C:C9:51,2024-09-11 15:45:30,0
-17,DC:6B:61:2B:5E:43,2024-09-11 15:45:31,0
-28,C3:C4:AC:4D:71:21,2024-09-11 15:45:31,0
-75,F6:C9:C2:EB:01:A6,2024-09-11 15:45:31,0
-39,F2:0B:6D:12:D2:41,2024-09-11 15:45:31,0
-18,F0:79:C0:40:FB:93,2024-09-11 15:45:32,0
-17,E4:BF:94:1D:83:8D,2024-09-11 15:45:32,0
-17,E6:C7:0D:78:F3:84,2024-09-11 15:45:32,0
-20,E5:8F:75:D0:5C:32,2024-09-11 15:45:32,0
-27,F8:7A:46:49:DE:DD,2024-09-11 15:45:33,0
-20,D3:22:77:BF:AA:27,2024-09-11 15:45:33,0
-21,CF:A3:89:0C:C9:51,2024-09-11 15:45:34,0
-76,F6:C9:C2:EB:01:A6,2024-09-11 15:45:35,0
-26,C3:C4:AC:4D:71:21,2024-09-11 15:45:35,0
-17,D3:22:77:BF:AA:27,2024-09-11 15:45:35,0
-47,F2:0B:6D:12:D2:41,2024-09-11 15:45:35,0
-20,F0:79:C0:40:FB:93,2024-09-11 15:45:36,0
-17,E4:BF:94:1D:83:8D,2024-09-11 15:45:36,0
-19,E5:8F:75:D0:5C:32,2024-09-11 15:45:36,0
-17,E6:C7:0D:78:F3:84,2024-09-11 15:45:36,0
-18,DC:6B:61:2B:5E:43,2024-09-11 15:45:37,0
-30,F8:7A:46:49:DE:DD,2024-09-11 15:45:37,0
-18,F0:79:C0:40:FB:93,2024-09-11 15:45:38,0
-17,E4:BF:94:1D:83:8D,2024-09-11 15:45:38,0
-20,E5:8F:75:D0:5C:32,2024-09-11 15:45:38,0
-17,E6:C7:0D:78:F3:84,2024-09-11 15:45:38,0
-17,DC:6B:61:2B:5E:43,2024-09-11 15:45:39,0
-28,F8:7A:46:49:DE:DD,2024-09-11 15:45:39,0
-18,F0:79:C0:40:FB:93,2024-09-11 15:45:40,0
-20,CF:A3:89:0C:C9:51,2024-09-11 15:45:40,0
-75,F6:C9:C2:EB:01:A6,2024-09-11 15:45:41,0
-27,C3:C4:AC:4D:71:21,2024-09-11 15:45:41,0
-17,D3:22:77:BF:AA:27,2024-09-11 15:45:41,0
-44,F2:0B:6D:12:D2:41,2024-09-11 15:45:41,0
-17,DC:6B:61:2B:5E:43,2024-09-11 15:45:43,0
-28,F8:7A:46:49:DE:DD,2024-09-11 15:45:43,0
-29,C3:C4:AC:4D:71:21,2024-09-11 15:45:43,0
-17,E4:BF:94:1D:83:8D,2024-09-11 15:45:44,0
-17,E6:C7:0D:78:F3:84,2024-09-11 15:45:44,0
-19,E5:8F:75:D0:5C:32,2024-09-11 15:45:44,0
-18,DC:6B:61:2B:5E:43,2024-09-11 15:45:45,0
-30,F8:7A:46:49:DE:DD,2024-09-11 15:45:45,0
-20,D3:22:77:BF:AA:27,2024-09-11 15:45:45,0
-45,F2:0B:6D:12:D2:41,2024-09-11 15:45:45,0
-18,F0:79:C0:40:FB:93,2024-09-11 15:45:46,0
-20,CF:A3:89:0C:C9:51,2024-09-11 15:45:46,0
-75,F6:C9:C2:EB:01:A6,2024-09-11 15:45:47,0
-17,D3:22:77:BF:AA:27,2024-09-11 15:45:47,0
-45,F2:0B:6D:12:D2:41,2024-09-11 15:45:47,0
-18,E4:BF:94:1D:83:8D,2024-09-11 15:45:48,0
-19,E6:C7:0D:78:F3:84,2024-09-11 15:45:48,0
-22,E5:8F:75:D0:5C:32,2024-09-11 15:45:48,0
-17,DC:6B:61:2B:5E:43,2024-09-11 15:45:49,0
-76,F6:C9:C2:EB:01:A6,2024-09-11 15:45:49,0
-29,C3:C4:AC:4D:71:21,2024-09-11 15:45:49,0
-17,E4:BF:94:1D:83:8D,2024-09-11 15:45:50,0
-17,E6:C7:0D:78:F3:84,2024-09-11 15:45:50,0
-19,E5:8F:75:D0:5C:32,2024-09-11 15:45:50,0
-18,DC:6B:61:2B:5E:43,2024-09-11 15:45:51,0
-75,F6:C9:C2:EB:01:A6,2024-09-11 15:45:51,0
-26,C3:C4:AC:4D:71:21,2024-09-11 15:45:51,0
-54,F2:0B:6D:12:D2:41,2024-09-11 15:45:51,0
-21,CF:A3:89:0C:C9:51,2024-09-11 15:45:52,0
-27,F8:7A:46:49:DE:DD,2024-09-11 15:45:53,0
-20,D3:22:77:BF:AA:27,2024-09-11 15:45:53,0
-18,F0:79:C0:40:FB:93,2024-09-11 15:45:54,0
-17,DC:6B:61:2B:5E:43,2024-09-11 15:45:55,0
-78,F6:C9:C2:EB:01:A6,2024-09-11 15:45:55,0
-26,C3:C4:AC:4D:71:21,2024-09-11 15:45:55,0
-43,F2:0B:6D:12:D2:41,2024-09-11 15:45:55,0
-18,E4:BF:94:1D:83:8D,2024-09-11 15:45:56,0
-19,E6:C7:0D:78:F3:84,2024-09-11 15:45:56,0
-22,E5:8F:75:D0:5C:32,2024-09-11 15:45:56,0
-23,CF:A3:89:0C:C9:51,2024-09-11 15:45:56,0
-30,F8:7A:46:49:DE:DD,2024-09-11 15:45:57,0
-17,D3:22:77:BF:AA:27,2024-09-11 15:45:57,0
-17,F0:79:C0:40:FB:93,2024-09-11 15:45:58,0
-22,CF:A3:89:0C:C9:51,2024-09-11 15:45:58,0
-17,DC:6B:61:2B:5E:43,2024-09-11 15:45:59,0
-79,F6:C9:C2:EB:01:A6,2024-09-11 15:45:59,0
-25,C3:C4:AC:4D:71:21,2024-09-11 15:45:59,0
-41,F2:0B:6D:12:D2:41,2024-09-11 15:46:00,0
-18,E4:BF:94:1D:83:8D,2024-09-11 15:46:00,0
-19,E6:C7:0D:78:F3:84,2024-09-11 15:46:00,0
-22,E5:8F:75:D0:5C:32,2024-09-11 15:46:00,0
