Distance,average_rssi,total_measurements,number_different_mac_addresses,time_between_first_and_last_measurement,lowest_rssi,highest_rssi
0.0,-28.57608695652174,184,13,62.0,-93,-17
0.1,-52.68617021276596,188,14,63.0,-91,-38
0.2,-54.94329896907217,194,13,70.0,-92,-46
0.3,-57.049723756906076,181,15,67.0,-93,-46
0.4,-63.84444444444444,180,15,66.0,-91,-53
0.5,-67.32300884955752,226,14,79.0,-91,-53
0.6,-72.08947368421053,190,14,66.0,-91,-61
0.7,-73.57988165680473,169,14,62.0,-90,-60
0.8,-74.31176470588235,170,14,65.0,-92,-62
0.9,-75.94886363636364,176,13,64.0,-90,-64
1.0,-77.64634146341463,164,14,64.0,-92,-64
1.1,-79.2280701754386,171,14,69.0,-91,-65
1.2,-78.84239130434783,184,15,68.0,-91,-69
1.3,-80.21212121212122,165,14,63.0,-91,-62
1.4,-80.0,154,14,62.0,-91,-64
1.5,-80.55704697986577,149,12,64.0,-91,-69
1.6,-81.46198830409357,171,13,65.0,-92,-67
1.7,-81.58282208588957,163,14,63.0,-91,-68
1.8,-83.57638888888889,144,14,64.0,-91,-71
1.9,-82.55714285714286,140,13,63.0,-93,-73
2.0,-82.3529411764706,136,14,62.0,-91,-73
Overall,-70.95165323701028,3599,21,1747.0,-93,-17
