mac;timestampInMilliSeconds;type;id
B9:D7:13:10:10:00;1669202374875;Tier;1
E6:88:01:02:C1:84;1669202407011;AppleDevice;2
DB:EE:05:2C:9F:97;1669202407028;Tile;3
D4:9D:C0:84:D5:6F;1669202410783;Unknown;4
D0:D0:03:1B:4B:69;1669202434019;Unknown;5
7C:DB:3F:55:11:F8;1669202433335;Chipolo ONE Spot;6
EB:7E:E1:60:29:DC;1669202433327;AirTag;7
FC:F1:36:CE:A6:88;1669202464796;Unknown;8
FE:E8:A6:DF:EB:30;1669202465372;Chipolo ONE Spot;9
00:C3:F4:F7:30:5D;1669202468320;Unknown;10
53:34:51:36:16:3E;1669202473458;Galaxy SmartTag+;11
70:B1:3D:C4:BC:A5;1669202496056;Unknown;12
61:1E:14:7A:4C:DE;1669202564788;Chipolo ONE Spot;13
4C:D3:FF:5D:E0:81;1669202585841;Chipolo ONE Spot;14
C0:28:8D:4E:9E:73;1669202582959;Unknown;15
74:72:F3:E8:BD:F1;1669202614989;Unknown;16
19:A9:FB:4C:A6:73;1669202614337;AppleDevice;17
5C:AF:5C:B0:E0:B0;1669202618771;AirTag;18
33:B9:18:EC:AB:8B;1669202614323;AppleDevice;19
E0:9D:13:1B:55:21;1669202618006;Unknown;20
26:81:D9:4A:32:06;1669202614299;AppleDevice;21
F8:04:2E:C2:A3:6D;1669202644246;Unknown;22
0F:90:41:51:D5:C6;1669202651477;AppleDevice;23
90:DD:5D:BA:7D:F0;1669202645684;AppleDevice;24
68:CF:ED:4E:79:4F;1669202643652;Unknown;25
BC:7E:8B:A9:2E:DD;1669202643536;Unknown;26
D0:D2:B0:7E:F7:84;1669202652279;AppleDevice;27
